date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:30	29067/29067	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Feb%202019%2004:29:14%20GMT	https://motimahaldelux.in/wp-content/themes/motimahal/css/font-awesome.min.css?ver=5.7.9	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/themes/motimahal/css/font-awesome.minfcc2.css	(from https://motimahaldelux.in/)
22:55:30	3416/3416	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Feb%202019%2004:29:12%20GMT	https://motimahaldelux.in/wp-content/themes/motimahal/css/owl.carousel.min.css?ver=5.7.9	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/themes/motimahal/css/owl.carousel.minfcc2.css	(from https://motimahaldelux.in/)
22:55:30	941/941	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Feb%202019%2004:29:12%20GMT	https://motimahaldelux.in/wp-content/themes/motimahal/css/owl.theme.default.min.css?ver=5.7.9	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/themes/motimahal/css/owl.theme.default.minfcc2.css	(from https://motimahaldelux.in/)
22:55:31	53229/53229	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Feb%202019%2018:27:08%20GMT	https://motimahaldelux.in/wp-content/themes/motimahal/css/animate.css?ver=5.7.9	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/themes/motimahal/css/animatefcc2.css	(from https://motimahaldelux.in/)
22:55:31	244/244	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Feb%202019%2004:03:54%20GMT	https://motimahaldelux.in/wp-content/themes/motimahal/style.css?ver=5.7.9	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/themes/motimahal/stylefcc2.css	(from https://motimahaldelux.in/)
22:55:31	99671/99671	---MC-	200	added ('OK')	application/json	date:Mon,%2009%20Oct%202023%2017:25:31%20GMT	https://motimahaldelux.in/wp-json/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-json/index.html	(from https://motimahaldelux.in/)
22:55:31	2744/2744	---MC-	200	added ('OK')	application/json	date:Mon,%2009%20Oct%202023%2017:25:30%20GMT	https://motimahaldelux.in/wp-json/wp/v2/pages/2	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-json/wp/v2/pages/2.json	(from https://motimahaldelux.in/)
22:55:32	816/816	---M--	200	added ('OK')	text/xml	date:Mon,%2009%20Oct%202023%2017:25:31%20GMT	https://motimahaldelux.in/xmlrpc.php?rsd	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/xmlrpc0db0.php	(from https://motimahaldelux.in/)
22:55:32	226/226	---M--	200	added ('Not%20Acceptable')	text/html	date:Mon,%2009%20Oct%202023%2017:25:31%20GMT	https://motimahaldelux.in/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-includes/wlwmanifest.html	(from https://motimahaldelux.in/)
22:55:33	2273/2273	---MC-	200	added ('OK')	application/json	date:Mon,%2009%20Oct%202023%2017:25:32%20GMT	https://motimahaldelux.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmotimahaldelux.in%2F	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-json/oembed/1.0/embedd21b.json	(from https://motimahaldelux.in/)
22:55:33	2363/2363	---MC-	200	added ('OK')	text/xml	date:Mon,%2009%20Oct%202023%2017:25:32%20GMT	https://motimahaldelux.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmotimahaldelux.in%2F&format=xml	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-json/oembed/1.0/embedbcba	(from https://motimahaldelux.in/)
22:55:33	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2009%20Oct%202023%2017:25:32%20GMT	https://motimahaldelux.in/xmlrpc.php	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/xmlrpc.php	(from https://motimahaldelux.in/)
22:55:34	4883/4883	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Feb%202019%2006:09:44%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/02/favicon.png	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/02/favicon.png	(from https://motimahaldelux.in/)
22:55:34	12521/12521	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Feb%202019%2005:54:32%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/02/moti-mahal-delux-logo.png	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/02/moti-mahal-delux-logo.png	(from https://motimahaldelux.in/)
22:55:36	33111/33111	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:34%20GMT	https://motimahaldelux.in/menu/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/menu/index.html	(from https://motimahaldelux.in/)
22:55:36	556309/556309	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Mar%202019%2012:40:40%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/03/slide2.jpg	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/03/slide2.jpg	(from https://motimahaldelux.in/)
22:55:36	949941/949941	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Mar%202019%2012:40:18%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/03/slide1.jpg	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/03/slide1.jpg	(from https://motimahaldelux.in/)
22:55:36	37564/37564	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:35%20GMT	https://motimahaldelux.in/reservations/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/reservations/index.html	(from https://motimahaldelux.in/)
22:55:37	36593/36593	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:36%20GMT	https://motimahaldelux.in/franchise/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/franchise/index.html	(from https://motimahaldelux.in/)
22:55:37	40284/40284	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:36%20GMT	https://motimahaldelux.in/locations/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/locations/index.html	(from https://motimahaldelux.in/)
22:55:37	633551/633551	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Mar%202019%2012:41:06%20GMT	https://motimahaldelux.in/wp-content/uploads/2019/03/slide3.jpg	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/uploads/2019/03/slide3.jpg	(from https://motimahaldelux.in/)
22:55:37	2674/2674	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Feb%202019%2006:15:24%20GMT	https://motimahaldelux.in/wp-content/themes/motimahal/images/heading-graphic.png	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/wp-content/themes/motimahal/images/heading-graphic.png	(from https://motimahaldelux.in/)
22:55:38	33442/33442	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2017:25:36%20GMT	https://motimahaldelux.in/awards/	C:/My%20Web%20Sites/MOTI%20MAHAL/motimahaldelux.in/awards/index.html	(from https://motimahaldelux.in/)
